B1676	Tensione batteria fuori campo[Fiat]
P2305	Ignition Coil 'B' Secondary Circuit
P2306	Ignition Coil 'C' Primary Control Circuit Low
P2307	Ignition Coil 'C' Primary C ontrol Circuit H igh
P2308	Ignition Coil 'C' Secondary Circuit
P2309	Ignition Coil 'D' Primary Control Circuit Low
P2310	Ignition Coil 'D' Primary C ontrol Circuit H igh
P2311	Ignition Coil 'D' Secondary Circuit
P2312	Ignition Coil 'E' Primary Control Circuit Low
P2313	Ignition Coil 'E' Primary Control Circuit H igh
P2314	Ignition Coil 'E' Secondary Circuit
P2315	Ignition Coil 'F' Primary C ontrol Circuit Low
P2316	Ignition Coil 'F' Primary C ontrol Circuit H igh
P2317	Ignition Coil 'F' Secondary C ircuit
P2318	Ignition Coil 'G' Primary C ontrol Circuit Low
P2319	Ignition Coil 'G' P rimary Control C ircuit H igh
P2320	Ignition Coil 'G' Secondary C ircuit
P2321	Ignition Coil 'H' Primary Control Circuit Low
P2322	Ignition Coil 'H' Primary C ontrol Circuit H igh
P2323	Ignition Coil 'H' Secondary Circuit
P2324	Ignition Coil 'I' Primary Control Circuit Low
P2325	Ignition Coil 'I' Primary Control Circuit High
P2326	Ignition Coil 'I' Secondary Circuit
P2327	Ignition Coil 'J' Primary Control Circuit Low
P2328	Ignition Coil 'J' Primary Control Circuit H igh
P2329	Ignition Coil 'J' Secondary Circuit
P2330	Ignition Coil 'K' Primary Control Circuit Low
P2331	Ignition Coil 'K' Primary Control Circuit H igh
P2332	Ignition Coil 'K' Secondary Circuit
P2333	Ignition Coil 'L' Primary Control Circuit Low
P2334	Ignition Coil 'L' Primary Control Circuit High
P2335	Ignition Coil 'L' Secondary Circuit
P2336	Cilindro 1 - por encima umbral detonacion
P2337	Cilindro 2 - por encima umbral detonacion
P2338	Cilindro 3 - por encima umbral detonacion
P2339	Cilindro 4 - por encima umbral detonacion
P2340	Cilindro 5 - por encima umbral detonacion
P2341	Cilindro 6 - por encima umbral detonacion
P2342	Cylinder #7 Above Knock Threshold
P2343	Cylinder #8 Above Knock Threshold
P2344	Cylinder #9 Above Knock Threshold
P2345	Cylinder #10 Above Knock Threshold
P2346	Cylinder #11 Above Knock Threshold
P2347	Cylinder #12 Above Knock Threshold
P2400	Evaporative Emission System Leak Detection Pump C ontrol Circuit/Open
P2401	Evaporative Emission System Leak Detection Pump C ontrol Circuit Low
P2402	Evaporative Emission System Leak Detection Pump C ontrol Circuit High
P2403	Evaporative Emission System Leak Detection Pump Sense Circuit/Open
P2404	Evaporative Emission System Leak Detection Pump Sense Circuit Range/Performance
P2405	Evaporative Emission System Leak Detection Pump Sense Circuit Low
P2406	Evaporative Emission System Leak Detection Pump Sense Circuit High
P2407	Evaporative Emission System Leak Detection Pump Sense Circuit Interm ittent/Erratic
P2408	Fuel Cap Sensor/Switch Circuit
P2409	Fuel Cap Sensor/Switch Circuit Range/Performance
P2410	Fuel Cap Sensor/Switch Circuit Low
P2411	Fuel Cap Sensor/Switch Circuit High
P2412	Fuel Cap Sensor/Switch Circuit Interm ittent/Erratic
P2413	Exhaust Gas Recirculation System Performance
P2414	O2 Sensor Exhaust Sample Error (Bank 1 Sensor 1)
P2415	O2 Sensor Exhaust Sample Error (Bank 2 Sensor 1)
P2416	O2 Sensor Signals Swapped Bank 1 Sensor 2 / Bank 1 Sensor 3
P2417	O2 Sensor Signals Swapped Bank 2 Sensor 2 / Bank 2 Sensor 3
P2418	Evaporative Emission System Switching Valve Control Circuit /Open
P2419	Evaporative Emission System Switching Valve Control Circuit Low
P2420	Evaporative Emission System Switching Valve Control C ircuit H igh
P2421	Evaporative Emission System Vent Valve Stuck Open
P2422	Evaporative Emission System Vent Valve Stuck Closed
P2423	HC Adsorption Catalyst Efficiency Below Threshold (Bank 1)
P2424	HC Adsorption Catalyst Efficiency Below Threshold (Bank 2)
P2500	Generator Lamp/L-Terminal Circuit Low
P2501	Generator Lamp/L-Terminal Circuit High
P2502	Charging System Voltage
P2503	Charging System Voltage Low
P2504	Charging System Voltage High
P2505	ECM/PCM Power Input S ignal
P2506	ECM/PCM Power Input S ignal Range/Performance
P2507	ECM/PCM Power Input Signal Low
P2508	ECM/PCM Power Input S ignal High
P2509	ECM/PCM Power Input Signal Intermittent
P2510	ECM/PCM Power Relay Sense Circuit Range/Performance
P2511	ECM/PCM Power Relay Sense Circuit Intermittent
P2512	Event Data Recorder Request Circuit/ Open
P2513	Event Data Recorder Request Circuit Low
P2514	Event Data Recorder Request Circuit High
P2515	A/C Refrigerant Pressure Sensor 'B' C ircuit
P2516	A/C Refrigerant Pressure Sensor 'B' C ircuit Range/Performance
P2517	A/C Refrigerant Pressure Sensor 'B' C ircuit Low
P2518	A/C Refrigerant Pressure Sensor 'B' C ircuit High
P2519	A/C Request 'A' C ircuit
P2520	A/C Request 'A' C ircuit Low
P2521	A/C Request 'A' C ircuit High
P2522	A/C Request 'B' C ircuit
P2523	A/C Request 'B' C ircuit Low
P2524	A/C Request 'B' C ircuit High
P2525	Vacuum Reservoir Pressure Sensor Circuit
P2526	Vacuum Reservoir Pressure Sensor Circuit Range/Performance
P2527	Vacuum Reservoir Pressure Sensor Circuit Low
P2528	Vacuum Reservoir Pressure Sensor Circuit High
P2529	Vacuum Reservoir Pressure Sensor Circuit Intermittent
P2530	Ignition Switch Run Position Circuit
P2531	Ignition Switch Run Position Circuit Low
P2532	Ignition Switch Run Position Circuit High
P2533	Ignition Switch Run/Start Position Circuit
P2534	Ignition Switch Run/Start Position Circuit Low
P2535	Ignition Switch Run/Start Position Circuit High
P2536	Ignition Switch Accessory Position Circuit
P2537	Ignition Switch Accessory Position Circuit Low
P2538	Ignition Switch Accessory Position Circuit High
P2539	Low Pressure Fuel System Sensor Circuit
P2540	Low Pressure Fuel System Sensor Circuit Range/Performance
P2541	Low Pressure Fuel System Sensor Circuit Low
P2542	Low Pressure Fuel System Sensor Circuit High
P2543	Low Pressure Fuel System Sensor Circuit Intermittent
P2544	Torque Management Request Input Signal 'A'
P2545	Torque Management Request Input Signal 'A' Range/Performance
P2546	Torque Management Request Input Signal 'A' Low
P2547	Torque Management Request Input Signal 'A' High
P2548	Torque Management Request Input Signal 'B'
P2549	Torque Management Request Input Signal 'B' Range/Performance
P2550	Torque Management Request Input 'B' Signal Low
P2551	Torque Management Request Input 'B' Signal High
P2552	Throttle/Fuel Inhibit Circuit
P2553	Throttle/Fuel Inhibit Circuit Range/Performance
P2554	Throttle/Fuel Inhibit Circuit Low
P2555	Throttle/Fuel Inhibit Circuit High
P2556	Engine C oolant Level Sensor/Switch Circuit
P2557	Engine Coolant Level Sensor/Switch Circuit Range/Performance
P2558	Engine Coolant Level Sensor/Switch Circuit Low
P2559	Engine Coolant Level Sensor/Switch Circuit High
P2560	Engine Coolant Level Low
P2600	Coolant Pump Control Circuit/Open
P2601	Coolant Pump Control C ircuit Range/Performance
P2602	Coolant Pump Control C ircuit Low
P2603	Coolant Pump Control C ircuit H igh
P2604	Intake Air Heater 'A' C ircuit Range/Performance
P2605	Intake Air Heater 'A' C ircuit/Open
P2606	Intake Air Heater 'B' C ircuit Range/Performance
P2607	Intake Air Heater 'B' C ircuit Low
P2608	Intake Air Heater 'B' C ircuit High
P2609	Intake Air Heater System Performance
P2610	ECM/PCM Internal Engine Off Timer Performance
P2611	A/C Refrigerant Distribution Valve C ontrol Circuit/Open
P2612	A/C Refrigerant Distribution Valve C ontrol Circuit Low
P2613	A/C Refrigerant Distribution Valve C ontrol Circuit H igh
P2614	Camshaft Position Signal Output Circuit/Open
P2615	Camshaft Position Signal Output C ircuit Low
P2616	Camshaft Position S ignal Output Circuit H igh
P2617	Crankshaft Position Signal Output Circuit/Open
P2618	Crankshaft Position Signal Output Circuit Low
P2619	Crankshaft Position Signal Output Circuit High
P2620	Throttle Position Output Circuit/Open
P2621	Throttle Position Output Circuit Low
P2622	Throttle Position Output Circuit High
P2623	Injector Control Pressure Regulator Circuit/Open
P2624	Injector Control Pressure Regulator C ircuit Low
P2625	Injector Control Pressure Regulator C ircuit High
P2626	O2 Sensor Pumping Current Trim Circuit/Open (Bank 1 Sensor 1)
P2627	O2 Sensor Pumping Current Trim Circuit Low (Bank 1 Sensor 1)
P2628	O2 Sensor Pumping Current Trim Circuit High (Bank 1 Sensor 1)
P2629	O2 Sensor Pumping Current Trim Circuit/Open (Bank 2 Sensor 1)
P2630	O2 Sensor Pumping Current Trim Circuit Low (Bank 2 Sensor 1)
P2631	O2 Sensor Pumping Current Trim Circuit High (Bank 2 Sensor 1)
P2632	Fuel Pump 'B' C ontrol Circuit /Open
P2633	Fuel Pump 'B' C ontrol Circuit Low
P2634	Fuel Pump 'B' C ontrol Circuit H igh
P2635	Fuel Pump 'A' Low Flow / Performance
P2636	Fuel Pump 'B' Low Flow / Performance
P2637	Torque Management Feedback Signal 'A'
P2638	Torque Management Feedback Signal 'A' Range/Performance
P2639	Torque Management Feedback Signal 'A' Low
P2640	Torque Management Feedback Signal 'A' High
P2641	Torque Management Feedback Signal 'B'
P2642	Torque Management Feedback Signal 'B' Range/Performance
P2643	Torque Management Feedback Signal 'B' Low
P2644	Torque Management Feedback Signal 'B' High
P2645	A Rocker Arm Actuator Control Circuit/Open (Bank 1)
P2646	A Rocker A rm Actuator System Performance or Stuck O ff (Bank 1)
P2647	A Rocker Arm Actuator System S tuck On (Bank 1)
P2648	A Rocker Arm Actuator Control Circuit Low (Bank 1)
P2649	A Rocker Arm Actuator Control Circuit High (Bank 1)
P2650	B Rocker Arm Actuator Control Circuit/Open (Bank 1)
P2651	B Rocker A rm Actuator System Performance or Stuck O ff (Bank 1)
P2652	B Rocker Arm Actuator System S tuck On (Bank 1)
P2653	B Rocker Arm Actuator Control Circuit Low (Bank 1)
P2654	B Rocker Arm Actuator Control Circuit High (Bank 1)
P2655	A Rocker Arm Actuator Control Circuit/Open (Bank 2)
P2656	A Rocker A rm Actuator System Performance or Stuck O ff (Bank 2)
P2657	A Rocker Arm Actuator System S tuck On (Bank 2)
P2658	A Rocker Arm Actuator Control Circuit Low (Bank 2)
P2659	A Rocker Arm Actuator Control Circuit High (Bank 2)
P2660	B Rocker Arm Actuator Control Circuit/Open (Bank 2)
P2661	B Rocker A rm Actuator System Performance or Stuck O ff (Bank 2)
P2662	B Rocker Arm Actuator System S tuck On (Bank 2)
P2663	B Rocker Arm Actuator Control Circuit Low (Bank 2)
P2664	B Rocker Arm Actuator Control Circuit High (Bank 2)
P2700	Transmission Friction Element 'A' Apply Time Range/Performance
P2701	Transmission Friction Element 'B' Apply Time Range/Performance
P2702	Transmission Friction Element 'C' Apply Time Range/Performance
P2703	Transmission Friction Element 'D' Apply Time Range/Performance
P2704	Transmission Friction Element 'E' Apply Time Range/Performance
P2705	Transmission Friction Element 'F' Apply Time Range/Performance
P2706	Shift Solenoid 'F'
P2707	Shift Solenoid 'F' Performance or Stuck Off
P2708	Shift Solenoid 'F' Stuck On
P2709	Shift Solenoid 'F' Electrical
P2710	Shift Solenoid 'F' Interm ittent
P2711	Unexpected Mechanical Gear Disengagement
P2712	Hydraulic Power Unit Leakage
P2713	Pressure Control Solenoid 'D'
P2714	Pressure Control Solenoid 'D' Performance or Stuck O ff
P2715	Pressure Control Solenoid 'D' Stuck On
P2716	Pressure Control Solenoid 'D' Electrical
P2717	Pressure Control Solenoid 'D' Interm ittent
P2718	Pressure Control Solenoid 'D' C ontrol Circuit / Open
P2719	Pressure Control Solenoid 'D' C ontrol Circuit Range/Performance
P2720	Pressure Control Solenoid 'D' C ontrol Circuit Low
P2721	Pressure Control Solenoid 'D' C ontrol Circuit H igh
P2722	Pressure Control Solenoid 'E'
P2723	Pressure Control Solenoid 'E' Performance or Stuck O ff
P2724	Pressure Control Solenoid 'E' Stuck On
P2725	Pressure Control Solenoid 'E' Electrical
P2726	Pressure Control Solenoid 'E' Intermittent
P2727	Pressure Control Solenoid 'E' Control Circuit / Open
P2728	Pressure Control Solenoid 'E' Control Circuit Range/Performance
P2729	Pressure Control Solenoid 'E' Control Circuit Low
P2730	Pressure Control Solenoid 'E' Control Circuit High
P2731	Pressure Control Solenoid 'F'
P2732	Pressure Control Solenoid 'F' Performance or Stuck O ff
P2733	Pressure Control Solenoid 'F' Stuck On
P2734	Pressure Control Solenoid 'F' Electrical
P2735	Pressure Control Solenoid 'F' Intermittent
P2736	Pressure Control Solenoid 'F' Control Circuit/Open
P2737	Pressure C ontrol Solenoid 'F' Control C ircuit Range/Performance
P2738	Pressure C ontrol Solenoid 'F' Control C ircuit Low
P2739	Pressure C ontrol Solenoid 'F' Control C ircuit High
P2740	Transmission Fluid Temperature Sensor 'B' Circuit'
P2741	Transmission Fluid Temperature Sensor 'B' Circuit Range Performance
P2742	Transmission Fluid Temperature Sensor 'B' Circuit Low
P2743	Transmission Fluid Temperature Sensor 'B' Circuit High
P2744	Transmission Fluid Temperature Sensor 'B' Circuit Interm ittent
P2745	Intermediate Shaft Speed Sensor 'B' C ircuit
P2746	Intermediate Shaft Speed Sensor 'B' C ircuit Range/Performance
P2747	Intermediate Shaft Speed Sensor 'B' C ircuit No Signal
P2748	Intermediate Shaft Speed Sensor 'B' C ircuit Intermittent
P2749	Intermediate Shaft Speed Sensor 'C' C ircuit
P2750	Intermediate Shaft Speed Sensor 'C' C ircuit Range/Performance
P2751	Intermediate Shaft Speed Sensor 'C' C ircuit No Signal
P2752	Intermediate Shaft Speed Sensor 'C' C ircuit Intermittent
P2753	Transmission Fluid Cooler Control Circuit/Open
P2754	Transmission Fluid Cooler Control Circuit Low
P2755	Transmission Fluid Cooler Control Circuit High
P2756	Torque Converter Clutch Pressure Control Solenoid
P2757	Torque Converter Clutch Pressure Control Solenoid C ontrol Circuit Performance or Stuck O ff
P2758	Torque Converter Clutch Pressure Control Solenoid C ontrol Circuit Stuck On
P2759	Torque Converter Clutch Pressure Control Solenoid C ontrol Circuit Electrical
P2760	Torque Converter Clutch Pressure Control Solenoid C ontrol Circuit Intermittent
P2761	Torque Converter Clutch Pressure Control Solenoid C ontrol Circuit/Open
P2762	Torque Converter Clutch Pressure Control Solenoid Control Circuit Range/Performance
P2763	Torque Converter Clutch Pressure Control Solenoid C ontrol Circuit High
P2764	Torque Converter Clutch Pressure Control Solenoid C ontrol Circuit Low
P2765	Input/Turbine Speed Sensor 'B' Circuit
P2766	Input/Turbine Speed Sensor 'B' Circuit Range/Performance
P2767	Input/Turbine Speed Sensor 'B' Circuit No Signal
P2768	Input/Turbine Speed Sensor 'B' Circuit Intermittent
P2769	Torque Converter Clutch Circuit Low
P2770	Torque Converter Clutch Circuit High
P3400	Cylinder Deactivation System
P3401	Cylinder 1 Deactivation/Intake Valve Control Circuit/Open
P3402	Cylinder 1 Deactivation/Intake Valve Control Performance
P3403	Cylinder 1 Deactivation/Intake Valve Control Circuit Low
P3404	Cylinder 1 Deactivation/Intake Valve Control Circuit High
P3405	Cylinder 1 Exhaust Valve Control Circuit/Open
P3406	Cylinder 1 Exhaust Valve Control Performance
P3407	Cylinder 1 Exhaust Valve C ontrol C ircuit Low
P3408	Cylinder 1 Exhaust Valve Control Circuit High
P3409	Cylinder 2 Deactivation/Intake Valve Control Circuit/Open
P3410	Cylinder 2 Deactivation/Intake Valve Control Performance
P3411	Cylinder 2 Deactivation/Intake Valve Control Circuit Low
P3412	Cylinder 2 Deactivation/Intake Valve Control Circuit H igh
P3413	Cylinder 2 Exhaust Valve Control Circuit/Open
P3414	Cylinder 2 Exhaust Valve Control Performance
P3415	Cylinder 2 Exhaust Valve C ontrol C ircuit Low
P3416	Cylinder 2 Exhaust Valve Control Circuit High
P3417	Cylinder 3 Deactivation/Intake Valve Control Circuit/Open
P3418	Cylinder 3 Deactivation/Intake Valve Control Performance
P3419	Cylinder 3 Deactivation/Intake Valve Control Circuit Low
P3420	Cylinder 3 Deactivation/Intake Valve Control Circuit H igh
P3421	Cylinder 3 Exhaust Valve Control Circuit/Open
P3422	Cylinder 3 Exhaust Valve Control Performance
P3423	Cylinder 3 Exhaust Valve C ontrol C ircuit Low
P3424	Cylinder 3 Exhaust Valve Control Circuit High
P3425	Cylinder 4 Deactivation/Intake Valve Control Circuit/Open
P3426	Cylinder 4 Deactivation/Intake Valve Control Performance
P3427	Cylinder 4 Deactivation/Intake Valve Control Circuit Low
P3428	Cylinder 4 Deactivation/Intake Valve Control Circuit High
P3429	Cylinder 4 Exhaust Valve Control Circuit/Open
P3430	Cylinder 4 Exhaust Valve Control Performance
P3431	Cylinder 4 Exhaust Valve C ontrol C ircuit Low
P3432	Cylinder 4 Exhaust Valve Control Circuit High
P3433	Cylinder 5 Deactivation/Intake Valve Control Circuit/Open
P3434	Cylinder 5 Deactivation/Intake Valve Control Performance
P3435	Cylinder 5 Deactivation/Intake Valve Control Circuit Low
P3436	Cylinder 5 Deactivation/Intake Valve Control Circuit High
P3437	Cylinder 5 Exhaust Valve Control Circuit/Open
P3438	Cylinder 5 Exhaust Valve Control Performance
P3439	Cylinder 5 Exhaust Valve C ontrol C ircuit Low
P3440	Cylinder 5 Exhaust Valve Control Circuit High
P3441	Cylinder 6 Deactivation/Intake Valve Control Circuit/Open
P3442	Cylinder 6 Deactivation/Intake Valve Control Performance
P3443	Cylinder 6 Deactivation/Intake Valve Control Circuit Low
P3444	Cylinder 6 Deactivation/Intake Valve Control Circuit High
P3445	Cylinder 6 Exhaust Valve Control Circuit/Open
P3446	Cylinder 6 Exhaust Valve Control Performance
P3447	Cylinder 6 Exhaust Valve C ontrol C ircuit Low
P3448	Cylinder 6 Exhaust Valve Control Circuit High
P3449	Cylinder 7 Deactivation/Intake Valve Control Circuit/Open
P3450	Cylinder 7 Deactivation/Intake Valve Control Performance
P3451	Cylinder 7 Deactivation/Intake Valve Control Circuit Low
P3452	Cylinder 7 Deactivation/Intake Valve Control Circuit H igh
P3453	Cylinder 7 Exhaust Valve Control Circuit/Open
P3454	Cylinder 7 Exhaust Valve Control Performance
P3455	Cylinder 7 Exhaust Valve C ontrol C ircuit Low
P3456	Cylinder 7 Exhaust Valve Control Circuit High
P3457	Cylinder 8 Deactivation/Intake Valve Control Circuit/Open
P3458	Cylinder 8 Deactivation/Intake Valve Control Performance
P3459	Cylinder 8 Deactivation/Intake Valve Control Circuit Low
P3460	Cylinder 8 Deactivation/Intake Valve Control Circuit H igh
P3461	Cylinder 8 Exhaust Valve Control Circuit/Open
P3462	Cylinder 8 Exhaust Valve Control Performance
P3463	Cylinder 8 Exhaust Valve C ontrol C ircuit Low
P3464	Cylinder 8 Exhaust Valve Control Circuit High
P3465	Cylinder 9 Deactivation/Intake Valve Control Circuit/Open
P3466	Cylinder 9 Deactivation/Intake Valve Control Performance
P3467	Cylinder 9 Deactivation/Intake Valve Control Circuit Low
P3468	Cylinder 9 Deactivation/Intake Valve Control Circuit High
P3469	Cylinder 9 Exhaust Valve Control Circuit/Open
P3470	Cylinder 9 Exhaust Valve Control Performance
P3471	Cylinder 9 Exhaust Valve C ontrol C ircuit Low
P3472	Cylinder 9 Exhaust Valve Control Circuit High
P3473	Cylinder 10 D eactivation/Intake Valve Control C ircuit/Open
P3474	Cylinder 10 D eactivation/Intake Valve Control Performance
P3475	Cylinder 10 D eactivation/Intake Valve Control C ircuit Low
P3476	Cylinder 10 D eactivation/Intake Valve Control C ircuit High
P3477	Cylinder 10 Exhaust Valve C ontrol Circuit/Open
P3478	Cylinder 10 Exhaust Valve C ontrol Performance
P3479	Cylinder 10 Exhaust Valve C ontrol Circuit Low
P3480	Cylinder 10 Exhaust Valve C ontrol Circuit High
P3481	Cylinder 11 Deactivation/Intake Valve Control C ircuit/Open
P3482	Cylinder 11 Deactivation/Intake Valve Control Performance
P3483	Cylinder 11 Deactivation/Intake Valve Control C ircuit Low
P3484	Cylinder 11 Deactivation/Intake Valve Control C ircuit High
P3485	Cylinder 11 Exhaust Valve Control Circuit/Open
P3486	Cylinder 11 Exhaust Valve Control Performance
P3487	Cylinder 11 Exhaust Valve Control Circuit Low
P3488	Cylinder 11 Exhaust Valve Control Circuit High
P3489	Cylinder 12 D eactivation/Intake Valve Control C ircuit/Open
P3490	Cylinder 12 D eactivation/Intake Valve Control Performance
P3491	Cylinder 12 D eactivation/Intake Valve Control C ircuit Low
P3492	Cylinder 12 D eactivation/Intake Valve Control C ircuit High
P3493	Cylinder 12 Exhaust Valve C ontrol Circuit/Open
P3494	Cylinder 12 Exhaust Valve C ontrol Performance
P3495	Cylinder 12 Exhaust Valve C ontrol Circuit Low
P3496	Cylinder 12 Exhaust Valve C ontrol Circuit High
U0001	Bus dati CAN, bus velocità alta
U0009	Bus dati CAN, bus velocità alta in corto a positivo
U0101	Bus dati CAN centralina cambio
U0121	Bus dati CAN centralina ABS
U0140	Bus dati CAN immobilizzatore
U0402	Segnale da cambio automatico
U0405	Dati ricevuti non validi-modulo comando tempomat segnale ON
U0415	Bus dati CAN
U0424	Bus dati CAN
U0426	Chiave elettronica ricevuti dati non validi-modulo comando immobilizzatore
U1600	Immobilizzatore nessun segnale[Fiat]
U1601	Errore linea C-CAN[Fiat]
U1602	Comunicazione B-CAN abitacolo[Fiat]
U1700	Comunicazione CAN elettronica centrale[Fiat]
U1701	Comunicazione CAN con servosterzo elettrico[Fiat]
U1706	Comunicazione CAN con ABS/ASR/ESP[Fiat]
U1711	Comunicazione CAN con ABS/ASR/ESP[Fiat]
U1712	Comunicazione CAN con EPS[Fiat]
U1715	Unità sensore ESP(nessuna comunicazione)[Fiat]
U1716	Comunicazione CAN cruise control assente[Fiat]
U1717	Comunicazione CAN cruise control assente[Fiat]
U1719	Comunicazione CAN con ABS[Fiat]
U1722	Comunicazione con modulo leva selettrice rapporto di marcia[Fiat]
U2100	Bus dati CAN errore comunicazione[Fiat]
U2101	Bus dati CAN non programmato[Fiat]
U2103	Bus dati CAN disturbo funzionale[Fiat]
U2104	Bus dati CAN dati non plausibili[Fiat]
U2105	Bus dati CAN centralina motore[Fiat]
U2107	Bus dati CAN centralina trazione integrale[Fiat]
U2108	Bus dati CAN sistema ABS[Fiat]
U2110	Bus dati CAN sistema ABS[Fiat]
U2111	Bus dati CAN[Fiat]
U2112	Bus dati CAN[Fiat]
U2113	Bus dati CAN[Fiat]
U2116	Bus dati CAN[Fiat]
U2117	Bus dati CAN[Fiat]
U2120	Bus dati CAN[Fiat]
U2127	Bus dati CAN climatizzatore[Fiat]
U2139	Bus dati CAN immobilizzatore[Fiat]
U2140	Bus dati CAN[Fiat]
U2141	Bus dati CAN[Fiat]
U2143	Bus dati CAN[Fiat]
U2144	Bus dati CAN[Fiat]
U2145	Bus dati CAN[Fiat]
U2146	Bus dati CAN[Fiat]
U2147	Bus dati CAN[Fiat]
U2149	Bus dati CAN[Fiat]
U2173	Bus dati CAN[Fiat]
U2174	Bus dati CAN[Fiat]
U2199	Temperatura refrigerante (disturbo funzionale)[Fiat]
U2201	Bus dati CAN[Fiat]
U2202	Bus dati CAN[Fiat]
U2206	Bus dati CAN[Fiat]
U2207	Bus dati CAN[Fiat]
U2208	Bus dati CAN[Fiat]
U2213	Bus dati CAN[Fiat]
U2215	Bus dati CAN[Fiat]
